col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103,col104,col105,col106,col107,col108,col109,col110,col111,col112,col113,col114,col115,col116,col117,col118,col119,col120,col121,col122,col123,col124,col125,col126,col127,col128,col129,col130,col131,col132,col133,col134,col135,col136,col137,col138,col139,col140,col141,col142,col143,col144,col145,col146,col147,col148,col149,col150,col151,col152,col153,target
62,115,257,649,120,204,418,268,434,660,62,-7015,793757,-89819641.0,-7320,828204,-93710342.0,864268,-97783346.0,-102047820.0,8794.83545,28762.38133,5411264.049,441003906.0,28762.38133,642242.8058,5193388.512,5411264.049,5193388.512,441003906.0,2,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,6,13,20,1,5,6,10,15,212,1706,12518,10,707,-655,1092,16115,32128,15,-2968,585978,-115410034,-140,28267.0,-5710763.0,2392.0,-483929.0,-12632.0,1.81e+22,4.5799999999999996e+25,5.17e+29,-8.069999999999999e+33,4.5799999999999996e+25,1.9400000000000002e+29,-5.21e+32,5.17e+29,-5.21e+32,-8.069999999999999e+33,6.0,0.0,0.0,0.0,6.0,9.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,39.0,278.0,4838.0,91118.0,194.0,1033.0,24599.0,12.0,-6875.0,-25624.0,39.0,-10564.0,2864346.0,-777402046.0,-7372.0,1996517.0,-541239777.0,1392544.0,-377072103.0,-262882432.0,4.71e+22,6.9499999999999995e+25,4.55e+29,1.22e+34,6.9499999999999995e+25,3.4100000000000003e+28,2.1499999999999999e+33,4.55e+29,2.1499999999999999e+33,1.22e+34,12.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0
150,424,1568,6646,365,924,3170,1053,2440,3353,150,-63176,26608416,-11207066378.0,-54385,22905404,-9647233982.0,19718353,-8304766352.0,-7149337057.0,425556.554,7496938.612,4971743756.0,774253000000.0,7496938.612,435440622.3,42155486903.0,4971743756.0,42155486903.0,774253000000.0,2,0,0,2,1,3,0,0,1,1,1,2,1,0,1,1,0,0,1,0,0,4,6,1,12,16,12,4,1,9,6,11,19,5,6,13,15,10,-33,1615,28111,441535,-2859,-6780,7126.0,-46737.0,-182050.0,-713529.0,-33.0,54910.0,-91259764.0,151506000000.0,-97206.0,161598195.0,-268347000000.0,-286132572.0,475266000000.0,-841690000000.0,-3.99e+22,7.35e+26,-1.07e+31,1.67e+35,7.35e+26,8.83e+29,1.9400000000000001e+34,-1.07e+31,1.9400000000000001e+34,1.67e+35,11.0,0.0,0.0,8.0,13.0,26.0,0.0,0.0,9.0,17.0,11.0,10.0,15.0,0.0,16.0,5.0,0.0,0.0,12.0,0.0,0.0,396.0,1813.0,14015.0,141649.0,4662.0,23456.0,198408.0,58620.0,289734.0,807492.0,396.0,-716135.0,1295079801.0,-2342070000000.0,-1841490.0,3330192620.0,-6022420000000.0,8563350756.0,-15486200000000.0,-39821600000000.0,4.78e+23,-8.719999999999998e+25,1.7999999999999998e+31,-1.5e+35,-8.719999999999998e+25,2.84e+29,-1.0200000000000001e+34,1.7999999999999998e+31,-1.0200000000000001e+34,-1.5e+35,25.0,0.0,0.0,28.0,0.0
367,1252,5416,26368,1306,4414,19236,5690,18924,27538,367,-458232,572144376,-714376000000.0,-477996,596820294,-745184000000.0,622562830,-777325000000.0,-810854000000.0,6247170.213,8897624.948,306212000000.0,-20110900000000.0,8897624.948,20998003921.0,-9620230000000.0,306212000000.0,-9620230000000.0,-20110900000000.0,2,0,3,3,0,0,0,4,2,7,1,1,0,4,5,1,2,0,0,1,0,8,16,8,12,14,3,10,9,1,8,17,3,11,10,10,17,4,14,8,15,4,15,14,15.0,20.0,10.0,1.0,3.0,10.0,15.0,14.0,15.0,10.0,10.0,4.0,9.0,3726.0,39475.0,513103.0,7312105.0,35273.0,369802.0,4801510.0,401757.0,4209668.0,4810577.0,3726.0,-147044375.0,5803020000000.0,-2.29e+17,-131391925.0,5185300000000.0,-2.05e+17,4633340000000.0,-1.83e+17,-1.63e+17,4.5e+24,1.7100000000000002e+27,1.37e+32,-6.85e+35,1.7100000000000002e+27,5.52e+30,-1.45e+32,1.37e+32,-1.45e+32,-6.85e+35,36.0,0.0,46.0,73.0,0.0,0.0,0.0,33.0,44.0,158.0,13.0,4.0,0.0,77.0,128.0,2.0,27.0,0.0,0.0,25.0,0.0,1891.0,18437.0,221507.0,2947589.0,11017.0,96403.0,1068475.0,103071.0,803819.0,1393291.0,1891.0,-34845930.0,642115000000.0,-1.18e+16,-20822130.0,0.0
102,231,687,2379,192,408,1156,412,812,972,102,-23331,5336787,-1220786421.0,-19392,4435608,-1014605132.0,3686812,-843293848.0,-700947252.0,57875.69135,791564.7981,159116635.9,23670158080.0,791564.7981,19554855.58,1805513892.0,159116635.9,1805513892.0,23670158080.0,1,0,0,0,2,1,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,12,6,1,13,14,13,5,18,15,5,45,709,11789,208243,-51,2005,53053,-5483,-22883,-138549,45,-31196,21627072,-14993701778.0,2244.0,-1552832.0,1074553904.0,106360.0,-73383504.0,4593894.0,5.44e+22,1.61e+26,-7.18e+29,4.3e+34,1.61e+26,7.98e+28,6.19e+33,-7.18e+29,6.19e+33,4.3e+34,3.0,0.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,5.0,9.0,0.0,0.0,8.0,0.0,0.0,0.0,-5.0,-281.0,-6045.0,-125081.0,379.0,1351.0,-8717.0,8787.0,55471.0,176701.0,-5.0,-1686.0,-558772.0,-182725344.0,2274.0,746844.0,242451352.0,-996700.0,-321404408.0,425705394.0,-6.04e+21,-1.28e+26,1.96e+30,-4.75e+34,-1.28e+26,-1.28e+28,-5.93e+33,1.96e+30,-5.93e+33,-4.75e+34,8.0,0.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
89,211,613,1999,180,457,1375,426,1127,1110,89,-18568,3873940,-808264096.0,-15840,3304717,-689486899.0,2819226,-588183679.0,-501780930.0,50499.37775,567288.1053,154672310.0,20866590914.0,567288.1053,17062570.06,1203675928.0,154672310.0,1203675928.0,20866590914.0,0,0,2,1,1,3,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,18,3,6,3,6,6,10,5,4,9,9,10,53,370,-1110,-99782,859,6104,21488,17671,127906,347791,53,-19240.0,6980790.0,-2531517682.0,-44668.0,16215434.0,-5883396982.0,37649602.0,-13667695536.0,-31737179326.0,6.4e+22,-8.09e+25,4.84e+30,-8.740000000000001e+34,-8.09e+25,3.72e+29,-9.37e+33,4.84e+30,-9.37e+33,-8.740000000000001e+34,0.0,0.0,6.0,9.0,8.0,14.0,0.0,0.0,21.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,54.0,425.0,8971.0,198263.0,-47.0,-239.0,35801.0,-10709.0,-78493.0,-284129.0,54.0,-22525.0,9401471.0,-3926286637.0,2491.0,-1038939.0,433618713.0,104159.0,-43429709.0,3500875.0,6.52e+22,1.89e+26,-1.97e+30,8.570000000000001e+34,1.89e+26,-2.23e+29,1.12e+34,-1.97e+30,1.12e+34,8.570000000000001e+34,0.0,0.0,20.0,4.0,5.0,25.0,0.0,0.0,5.0,1.0
80,139,285,661,164,286,588,394,692,1040,80,-10981,1507323,-206910847.0,-12956,1778374,-244111248.0,2098282,-288015770.0,-339835496.0,11348.17477,23599.90263,7863679.223,577363307.2,23599.90263,935565.6395,-5763520.983,7863679.223,-5763520.983,577363307.2,0,0,1,1,2,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,10,13,4,14,3,5,11,15,5,33,233,2725,43169,246,1570,18344,1662,7316,4584,33,-7456,1685684,-381341716,-7872.0,1778428.0,-402036446.0,1877658.0,-424159210.0,-447830052.0,3.99e+22,3.4699999999999995e+25,7.59e+29,3.98e+33,3.4699999999999995e+25,1.79e+28,1.13e+33,7.59e+29,1.13e+33,3.98e+33,0.0,0.0,5.0,3.0,15.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,2.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,-23.0,-217.0,-10955.0,-141.0,-520.0,-5804.0,-1137.0,-2066.0,-1959.0,-12.0,-299.0,-7623.0,-208433.0,-1833.0,-45922.0,-1179156.0,-279471.0,-7033802.0,-42531225.0,-1.45e+22,2.56e+24,-3.77e+29,-2.3099999999999998e+33,2.56e+24,3.69e+28,-5.72e+32,-3.77e+29,-5.72e+32,-2.3099999999999998e+33,0.0,0.0,5.0,7.0,5.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0
220,655,2413,9949,556,1587,5633,1638,4499,5290,220,-143445,93529863,-60984199971.0,-121764,79392827,-51766139265.0,67393286,-43941878495.0,-37300603566.0,624149.6126,9502143.879,7479690186.0,1107720000000.0,9502143.879,573187325.6,44189559242.0,7479690186.0,44189559242.0,1107720000000.0,0,0,0,0,2,1,1,3,2,0,1,1,1,1,0,2,1,2,0,1,0,11,6,8,5,16,8,5,18,8,16,17,18,7,20,14,13,12,9,9,35,2167,41541,706597,-1635.0,1692.0,165156.0,-37185.0,-150990.0,-668673.0,35.0,-73678.0,155005878.0,-325901000000.0,55590.0,-116918793.0,245750000000.0,88179240.0,-185286000000.0,139680000000.0,4.23e+22,5.95e+26,-8.04e+30,1.7299999999999998e+35,5.95e+26,2.24e+29,2.07e+34,-8.04e+30,2.07e+34,1.7299999999999998e+35,0.0,0.0,0.0,0.0,11.0,2.0,13.0,18.0,37.0,0.0,1.0,17.0,16.0,15.0,0.0,15.0,11.0,20.0,0.0,14.0,0.0,282.0,1517.0,8235.0,41231.0,5395.0,40972.0,400636.0,89773.0,737470.0,1481329.0,282.0,-426277.0,644369155.0,-974042000000.0,-1515995.0,2291621172.0,-3464080000000.0,8149776773.0,-12319500000000.0,-43812000000000.0,3.41e+23,-6.73e+26,2.4e+31,-3.42e+35,-6.73e+26,3.66e+29,-3.47e+34,2.4e+31,-3.47e+34,-3.42e+35,0.0,0.0,0.0
169,496,1814,7474,394,1038,3554,1102,2638,3442,169,-83328,41086486,-20258665134.0,-66192,32636846,-16092171322.0,25925514,-12782873194.0,-10154354466.0,479460.3842,9691825.459,5403931114.0,884583000000.0,9691825.459,533531228.8,59851143541.0,5403931114.0,59851143541.0,884583000000.0,0,0,0,2,2,4,0,0,1,1,1,0,1,0,1,1,2,0,1,0,0,5,6,4,17,16,6,4,17,9,6,11,19,5,6,13,15,10,24,1488,23508,319416,-1767,-4587,-12771.0,-31233.0,-145485.0,-438009.0,24.0,-34224.0,48734676.0,-69292192008.0,40641.0,-57849099.0,82215418185.0,68659125.0,-97535167911.0,115693000000.0,2.9e+22,5.98e+26,-6.519999999999999e+30,1.01e+35,5.98e+26,7.65e+29,1.1500000000000001e+34,-6.519999999999999e+30,1.1500000000000001e+34,1.01e+35,0.0,0.0,0.0,10.0,14.0,32.0,0.0,0.0,9.0,17.0,11.0,0.0,15.0,0.0,16.0,5.0,12.0,0.0,12.0,0.0,0.0,432.0,3344.0,39468.0,608360.0,4863.0,36323.0,416859.0,59649.0,422189.0,792825.0,432.0,-1441264.0,4808443948.0,-16042300000000.0,-2095953.0,6992641283.0,-23329300000000.0,10169030319.0,-33926500000000.0,-49337600000000.0,5.22e+23,-2.9499999999999995e+25,1.8699999999999998e+31,-1.4e+35,-2.9499999999999995e+25,3.54e+29,-7.98e+33,1.8699999999999998e+31,-7.98e+33,-1.4e+35,0.0,0.0,0.0,26.0,0.0
111,290,908,3140,195,461,1359,401,855,927,111,-31900,9167808,-2634798820.0,-21450,6164411,-1771589081.0,4145126,-1191238225.0,-801040158.0,62982.37,999350.5576,171277483.8,25727043026.0,999350.5576,25938940.78,2334393197.0,171277483.8,2334393197.0,25727043026.0,0,2,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,5,2,20,19,9,18,2,17,12,7,10,296,1660,-33196,-135,282,-31244,975,36998,84495,10,-2664,702588,-183047628.0,1215.0,-319398.0,82823032.0,146775.0,-37937662.0,17701995.0,1.21e+22,7.2199999999999995e+25,5.25e+29,-2.7400000000000003e+34,7.2199999999999995e+25,3.71e+29,-3.37e+33,5.25e+29,-3.37e+33,-2.7400000000000003e+34,0.0,9.0,0.0,0.0,1.0,0.0,10.0,0.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,8.0,6.0,4.0,3.0,0.0,30.0,239.0,6705.0,175841.0,215.0,788.0,47974.0,-815.0,-34858.0,-84175.0,30.0,-6931.0,1606093.0,-373233457.0,-6235.0,1439568.0,-333357670.0,1293485.0,-298468838.0,-267894625.0,3.62e+22,3.41e+25,7.77e+28,3.1000000000000002e+34,3.41e+25,-1.37e+29,4.7e+33,7.77e+28,4.7e+33,3.1000000000000002e+34,0.0,13.0,0.0,0.0,10.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0
183,478,1596,6058,447,1087,3497,1403,3117,5145,183,-86996,41357200,-19661045966.0,-81354,38674633,-18385571727.0,36166832,-17193205655.0,-16078508418.0,519178.9959,9023423.703,6797054905.0,660814000000.0,9023423.703,729482384.5,-4785111023.0,6797054905.0,-4785111023.0,660814000000.0,2,0,5,2,0,0,2,0,1,2,0,0,0,1,2,1,1,1,0,1,0,14,7,16,17,3,20,3,4,18,4,3,3,15,1,9,10,7,10,3,1,15,694,3662,26438.0,155714.0,10091.0,59107.0,519477.0,163811.0,1000483.0,2800673.0,694.0,-2537766.0,9279915286.0,-33934100000000.0,-6993063.0,25571702571.0,-93508700000000.0,70465334263.0,-257672000000000.0,-710041000000000.0,8.38e+23,-7.19e+26,4.629999999999999e+31,-6.45e+35,-7.19e+26,1.8399999999999998e+30,-6.360000000000001e+34,4.629999999999999e+31,-6.360000000000001e+34,-6.45e+35,34.0,0.0,54.0,18.0,0.0,0.0,19.0,0.0,15.0,34.0,0.0,0.0,0.0,1.0,34.0,3.0,4.0,9.0,0.0,6.0,0.0,157.0,4211.0,78917.0,1466543.0,-4498.0,-10200.0,124348.0,-109108.0,-540414.0,-2143324.0,157.0,-656916.0,2748619672.0,-11500400000000.0,701688.0,-2935877290.0,12283600000000.0,3135851512.0,-13120000000000.0,14013100000000.0,1.9e+23,1.83e+27,-2.3e+31,5.7799999999999996e+35,1.83e+27,6.58e+29,7.310000000000001e+34,-2.3e+31,7.310000000000001e+34,5.7799999999999996e+35,0.0
